grid_id,mosaic_status,mosaic_relpath,mosaic_sha256,missing_tiles,run_id,updated_utc
SSM-B001-G01,complete,mosaics/ort_riku10/SSM-B001-G01_z18.png,858162ca8c74f0bb611513d36e809e7d58b048a183ca90b5fca1956b24c38f18,,SSM-T01A,2026-06-25T14:09:31Z
SSM-B001-G02,complete,mosaics/ort_riku10/SSM-B001-G02_z18.png,fd06a21f01fde8f216acc8555903301dafaaff6d51818a4cc3899e1e69fa5f64,,SSM-T01B,2026-06-25T14:17:37Z
SSM-B001-G03,complete,mosaics/ort_riku10/SSM-B001-G03_z18.png,a7d9cd31672e1a44926b54db61ac0569ef8b23f91df915616252c516cafe6689,,SSM-T01C,2026-06-25T14:26:14Z
SSM-B001-G04,complete,mosaics/ort_riku10/SSM-B001-G04_z18.png,54e86f6ee7c161028c605c021cfd8377c06063646bc39360ed86348555205475,,SSM-T01A,2026-06-25T14:09:31Z
SSM-B001-G05,complete,mosaics/ort_riku10/SSM-B001-G05_z18.png,2ff2ce8deeb64d45691fb6ff646b4594e3586dcc8b151aedd0d420af6444ae0c,,SSM-T01B,2026-06-25T14:17:38Z
SSM-B001-G06,complete,mosaics/ort_riku10/SSM-B001-G06_z18.png,b7dcf4de234d063dafea4c157d284d6910356e7444372658cb27b19e45fa8d4b,,SSM-T01C,2026-06-25T14:26:14Z
SSM-B001-G07,complete,mosaics/ort_riku10/SSM-B001-G07_z18.png,9835e5115ac73e09bbd4bb47ac1d39d3db1a165b2305c79316b5768fa4b0f458,,SSM-T01D,2026-06-25T14:35:54Z
SSM-B001-G08,complete,mosaics/ort_riku10/SSM-B001-G08_z18.png,33dcad6d6372bfb4b01126066de11b6cdf5d5acf699355a0ce494618e847c698,,SSM-T01E,2026-06-25T14:39:11Z
SSM-B001-G09,complete,mosaics/ort_riku10/SSM-B001-G09_z18.png,2771940135480fb8b719390228b67d2f55b4fbe2abdfc8d12987f23ec6f099c4,,SSM-T01F,2026-06-25T14:49:15Z
SSM-B001-G10,complete,mosaics/ort_riku10/SSM-B001-G10_z18.png,0832f9ec921039a1ee0793b286ef4cdb73f97171f80d46025084c20ec340f154,,SSM-T01D,2026-06-25T14:35:54Z
SSM-B001-G11,complete,mosaics/ort_riku10/SSM-B001-G11_z18.png,4f15c883449d9f1ed0d7fdc6f8475fafb4631ce82283bac115e0432ea33a11f1,,SSM-T01E,2026-06-25T14:39:12Z
SSM-B001-G12,complete,mosaics/ort_riku10/SSM-B001-G12_z18.png,40e4e089c588ece949fd06c2e18701b1db59b661d89729efa0f815a97d6076f8,,SSM-T01F,2026-06-25T14:49:15Z
